popwght,state,nielsen,region,division,ownhome,mstatus,emply,age,age2,educ,income,d3_a,sex,sumo8
0.25,MN,A,North Central,West North Central,Owned,Widowed,Retired,78, ,Graduate school or more,Refused,Somewhat conservative,Male,Sausage
0.7989,MN,A,North Central,West North Central,Owned,Married,Full-time,66, ,Graduate school or more,"$40,000 but less than $50,000",Somewhat liberal,Male,Onions
0.2562,AL,C,South,East South Central,Rented,"Single, that is never married",Homemaker,48, ,Less than high school graduate,"$15,000 but less than $25,000",Moderate,Female,Sausage
0.595,OK,B,South,West South Central,Rented,"Single, that is never married",Student,42, ,Some college,"Less than $15,000",Somewhat conservative,Female,Mushrooms
1.0016,MO,A,North Central,West North Central,Owned,Married,Full-time,Refused,50-64,Graduate school or more,"$100,000 to under $150,000",Somewhat conservative,Female,Don't know/no answer
1.1122,TX,C,South,West South Central,Owned,Married,Part-time,59, ,Some college,"$15,000 but less than $25,000",Somewhat conservative,Female,Pepperoni
0.5229,AR,D,South,West South Central,Owned,Widowed,Full-time,55, ,High school graduate,"$30,000 but less than $40,000",Somewhat liberal,Female,Don't eat pizza
0.9437,AL,D,South,East South Central,Owned,Married,Full-time,Refused,50-64,Graduated college,"$50,000 but less than $75,000",Very conservative,Female,Sausage
0.2775,IA,C,North Central,West North Central,Owned,Married,Retired,71, ,Some college,"$40,000 but less than $50,000",Very liberal,Male,Sausage
0.3442,AL,C,South,East South Central,Owned,Married,Retired,75, ,Some college,"$75,000 but less than $100,000",Very conservative,Male,Don't eat pizza
0.5633,LA,B,South,West South Central,Owned,"Single, that is never married",Temporarily unemployed,62, ,High school graduate,"Less than $15,000",Moderate,Female,Sausage
0.516,TX,B,South,West South Central,Owned,Married,Retired,84, ,Some college,"$50,000 but less than $75,000",Somewhat conservative,Male,Mushrooms
0.7544,WI,A,North Central,East North Central,Owned,Married,Part-time,37, ,Some college,"$50,000 but less than $75,000",Moderate,Female,Sausage
0.25,KS,D,North Central,West North Central,Rented,Widowed,Retired,81, ,High school graduate,"$15,000 but less than $25,000",Moderate,Female,Pepperoni
0.2718,AL,C,South,East South Central,Rented,Widowed,Retired,77, ,Less than high school graduate,"Less than $15,000",Very conservative,Female,Pepperoni
2.1703,WA,A,West,Pacific,Rented,Married,Temporarily unemployed,43, ,Some college,"$50,000 but less than $75,000",Moderate,Female,Sausage
0.5679,CA,A,West,Pacific,Rented,Divorced,Full-time,48, ,Some college,"$75,000 but less than $100,000",Moderate,Male,Pepperoni
2.1279,WA,B,West,Pacific,Rented,Married,Homemaker,32, ,Some college,"$25,000 but less than $30,000",Somewhat conservative,Female,Pepperoni
0.9314,NV,B,West,Mountain,Rented,Married,Retired,70, ,Some college,"$30,000 but less than $40,000",Moderate,Male,Pepperoni
0.8489,CA,A,West,Pacific,Owned,Married,Retired,75, ,Graduated college,"$50,000 but less than $75,000",Somewhat conservative,Male,Mushrooms
0.5227,CA,B,West,Pacific,Owned,Widowed,Retired,82, ,Graduated college,"$50,000 but less than $75,000",Moderate,Female,Pepperoni
1.2464,CA,B,West,Pacific,Owned,Married,Homemaker,55, ,Technical school/other,"$15,000 but less than $25,000",Don't know,Female,Don't know/no answer
0.3495,CA,C,West,Pacific,Owned,Widowed,Retired,66, ,Less than high school graduate,"Less than $15,000",Very liberal,Female,Mushrooms
1.5076,AK,C,West,Pacific,Owned,Married,Full-time,55, ,Technical school/other,"$50,000 but less than $75,000",Somewhat conservative,Male,Sausage
0.389,CA,A,West,Pacific,Owned,Divorced,Full-time,62, ,High school graduate,"$50,000 but less than $75,000",Somewhat conservative,Male,Pepperoni
0.8703,OH,B,North Central,East North Central,Owned,Married,Full-time,50, ,Graduated college,"$100,000 to under $150,000",Somewhat liberal,Female,Sausage
1.3585,NY,A,North East,Mid Atlantic,Owned,Married,Full-time,58, ,Graduated college,"$30,000 but less than $40,000",Moderate,Male,Don't know/no answer
0.7518,PA,B,North East,Mid Atlantic,Rented,Married,Retired,67, ,High school graduate,"$30,000 but less than $40,000",Very conservative,Female,Mushrooms
0.2928,NC,B,South,South Atlantic,Owned,"Single, that is never married",Retired,74, ,Graduated college,"$75,000 but less than $100,000",Moderate,Female,Pepperoni
0.3904,OH,B,North Central,East North Central,Owned,Divorced,Retired,Refused,65+,High school graduate,Refused,Refused,Female,Sausage
1.3907,MD,A,South,South Atlantic,Owned,Married,Retired,64, ,Some college,"$100,000 to under $150,000",Moderate,Male,Mushrooms
0.8516,PA,B,North East,Mid Atlantic,Owned,Married,Retired,75, ,High school graduate,"$15,000 but less than $25,000",Don't know,Male,Don't eat pizza
2.4022,NY,A,North East,Mid Atlantic,Owned,Married,Homemaker,36, ,Less than high school graduate,"$15,000 but less than $25,000",Somewhat conservative,Female,Pepperoni
1.622,NY,A,North East,Mid Atlantic,Owned,Married,Full-time,47, ,High school graduate,"$40,000 but less than $50,000",Very liberal,Male,Pepperoni
0.25,VT,D,North East,New England,Rented,Widowed,Retired,71, ,High school graduate,"Less than $15,000",Moderate,Female,Mushrooms
1.8425,VA,A,South,South Atlantic,Owned,Married,Part-time,33, ,Graduate school or more,"$50,000 but less than $75,000",Somewhat liberal,Female,Mushrooms
0.9491,NC,C,South,South Atlantic,Owned,Married,Part-time,38, ,Some college,"$50,000 but less than $75,000",Very conservative,Female,Mushrooms
0.556,VA,B,South,South Atlantic,Rented,"Single, that is never married",Full-time,61, ,Some college,"$40,000 but less than $50,000",Moderate,Female,Pepperoni
0.8663,TX,B,South,West South Central,Owned,Married,Part-time,Refused,65+,Graduate school or more,"$30,000 but less than $40,000",Somewhat liberal,Male,Sausage
0.3295,MD,A,South,South Atlantic,Owned,Divorced,Full-time,55, ,Some college,"$40,000 but less than $50,000",Very conservative,Female,Pepperoni
1.084,NY,B,North East,Mid Atlantic,Owned,Married,Retired,61, ,Graduate school or more,"$100,000 to under $150,000",Very liberal,Female,Pepperoni
0.7033,AL,D,South,East South Central,Owned,Married,Retired,73, ,High school graduate,"Less than $50,000 (Unspecified)",Somewhat conservative,Female,Don't know/no answer
1.5617,MN,A,North Central,West North Central,Owned,Married,Full-time,Refused,30-49,Some college,"$100,000 and over (Unspecified)",Somewhat conservative,Male,Pepperoni
